counterfeit_smiles,parent_smiles,category,similarity_to_parent,qed,sa_score,p_counterfeit,n_edited_atoms,edited_atoms
CCC(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,O=NN(CCF)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,evolved,0.404,0.66,3.16,,2,0 1
O=NN(CCCC(=O)NC1CS(=O)(=O)CS(=O)(=O)C1)C(=O)Nc1ccccc1,O=NN(CCF)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,evolved,0.405,0.462,3.05,,15,0 1 2 3 4 5 19 20 21 22 23 24 25 26 27
CC#Cc1ccc2c(c1)C[C@@H](COC)NC(=O)[C@H](C(C)C)N2C,CCCCCCCCC#Cc1ccc2c(c1)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,evolved,0.505,0.87,3.74,,1,13
COC[C@@H]1Cc2cc(C#Cc3ccccc3)ccc2N(C)[C@@H](C(C)C)C(=O)N1,CCCCCCCCC#Cc1ccc2c(c1)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,evolved,0.47,0.837,3.47,,7,0 10 11 12 13 14 15
CC(C)[C@H]1C(=O)N[C@H](CO)Cc2cc(CCCCCc3ccccc3)ccc2N1C,CCCCCCCCC#Cc1ccc2c(c1)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,evolved,0.485,0.646,3.23,,10,15 16 17 18 19 20 21 22 23 24
CCCCCCCc1ccc2c(c1)C[C@@H](COC)NC(=O)[C@H](C(C)C)N2C,CCCCCCCCC#Cc1ccc2c(c1)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,evolved,0.446,0.654,3.36,,7,0 1 2 3 4 5 17
COCC1(CC(=O)O)C(C)(C)C(C)(C)C1(C)C,CC1(C)C(C)(C)C(CN)(CC(=O)O)C1(C)C,evolved,0.472,0.823,3.3,,2,0 1
CC1(C)C(C)(C)C(CN)(CC(=O)Oc2ccccc2)C1(C)C,CC1(C)C(C)(C)C(CN)(CC(=O)O)C1(C)C,evolved,0.426,0.675,2.91,,6,13 14 15 16 17 18
CC1(C)C(C)(C)C(CCCCC(=O)O)(CC(=O)O)C1(C)C,CC1(C)C(C)(C)C(CN)(CC(=O)O)C1(C)C,evolved,0.415,0.691,3.07,,6,8 9 10 11 12 13
CCN(CC)c1cc2c(s1)Nc1ccccc1N=C2N,Cc1cc2c(s1)Nc1ccccc1N=C2N,evolved,0.594,0.904,3.16,,5,0 1 2 3 4
