counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
CCCC[C@H](C)C[C@H](O)/C=C/[C@@H]1[C@H]2C[C@H](CCOCCO)C[C@H]2C[C@H]1O,CCCC[C@H](C)C[C@H](O)/C=C/[C@@H]1[C@H]2C[C@H](CCOCC(=O)OC)C[C@H]2C[C@H]1O,mmp0045_RCCeqOO_to_RCCO,bioisostere,subtle,0.759,,368.56,3.54,0.364,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)c1c(O)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,COC(=O)c1c(Cl)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,mmp0034_RCl_to_RO,bioisostere,subtle,0.747,1,468.4,3.37,0.446,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)c1c(Cl)cccc1-c1ccc([C@@H](C)NC(=O)CCO)c(F)c1,COC(=O)c1c(Cl)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,mmp0015_RC_to_RCCO,bioisostere,moderate,0.596,1 2 3,379.82,3.49,0.753,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3SC)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,mmp0085_ROC_to_RSC,bioisostere,subtle,0.817,1 2,646.19,3.58,0.367,43,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC(C)=O)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,mmp0018_RO_to_ROCCeqO,bioisostere,moderate,0.869,3 4,658.13,2.79,0.284,45,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC)(N(C)[C@@H](CCOC(C)=O)C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,mmp0094_RCO_to_RCOCCeqO,bioisostere,moderate,0.5,0 1 2 3 4 5 6 7 8 9 10 12 13 14,674.17,3.69,0.262,46,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1OCOC(C)=O,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc2c1OCO2,mmp0018_RO_to_ROCCeqO,bioisostere,moderate,0.471,0 1 2 3 4 5,403.43,2.56,0.421,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOC(=O)C1=C(CCN(CC)CC)NC(C)=C(C(=O)OC)C1c1cccc2c1OCO2,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc2c1OCO2,mmp0074_RC_to_RCCNCCCC,bioisostere,obvious,0.671,2 3 4 5 6 7,444.53,3.1,0.582,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC[C@@H]1O[C@@H]2C[C@@H]([C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)CO)C(C)(C)[C@]2(C(=O)O[C@H](C)OC(=O)OCC)O1,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)O[C@H](C)OC(=O)OCC)O1,mmp0058_RC_to_RCO,bioisostere,subtle,0.589,0 1 2 3 4 5 6 7 8 10 11 12 13 16 17 20 22,570.63,4.51,0.332,40,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.c1ccc(CCNCc2ccccc2)cc1,mmp0018_RO_to_ROCCeqO,bioisostere,moderate,0.591,2 3 4,376.43,0.87,0.476,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[S@@](=N)(=O)Cc1cccc(Nc2ncnc(-c3ccc(F)cc3OP(=O)(O)O)n2)c1,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@](C)(=N)=O)c2)n1,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.765,2 3 4 5,453.39,3.07,0.394,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cc(F)ccc1-c1ncnc(Nc2cccc(CCOCC(=O)O)c2)n1,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@](C)(=N)=O)c2)n1,mmp0078_RC_to_RCCOCCeqOO,bioisostere,obvious,0.634,2 3 4 5 6 7,398.39,3.07,0.53,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(O)COCCCc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,Cc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NN3CCCCCC3)cc2)no1,mmp0078_RC_to_RCCOCCeqOO,bioisostere,obvious,0.484,2 3 4 5 6 7,413.5,1.5,0.524,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC1(C)COC(Nc2ccc3ncnc(Nc4ccccc4)c3c2)=N1,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,mmp0023_Rc1cccOcc1_to_Rc1ccccc1,bioisostere,subtle,0.51,,333.4,3.95,0.759,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cc(Nc2ncnc3ccc(NC(O)=NC(C)(C)CCOCCO)cc23)ccc1Oc1ccn2ncnc2c1,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,mmp0026_RC_to_RCCOCCO,bioisostere,obvious,0.563,0 1 2 3 4 5 6 7 8 9 10 12,556.63,5.02,0.099,41,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(CCOCCO)CCOc1ccccc1-c1nc(-c2ccccc2)no1,CN(C)CCOc1ccccc1-c1nc(-c2ccccc2)no1,mmp0026_RC_to_RCCOCCO,bioisostere,obvious,0.712,2 3 4 5 6,383.45,2.72,0.51,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(CO)CCOc1ccccc1-c1nc(-c2ccccc2)no1,CN(C)CCOc1ccccc1-c1nc(-c2ccccc2)no1,mmp0058_RC_to_RCO,bioisostere,subtle,0.776,2,325.37,2.66,0.673,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CSc1ccccc1-c1nc(-c2ccccc2)no1,CN(C)CCOc1ccccc1-c1nc(-c2ccccc2)no1,mmp0085_ROC_to_RSC,bioisostere,subtle,0.451,1 2,268.34,4.13,0.67,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1cnc(N2CCC(c3nc(COP(=O)(O)O)cs3)CC2)nc1,CCc1cnc(N2CCC(c3nc(COc4ccc(-n5cnnn5)cc4)cs3)CC2)nc1,mmp0050_RCO_to_RCOPeqOOO,bioisostere,obvious,0.565,3 4 5 6,384.4,2.49,0.731,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC(=CC(C)=O)[C@](C)(COC(C)=O)[C@H]3[C@@H](O)C[C@@]21C,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,mmp0102_RC_to_RCOCCeqO,bioisostere,obvious,0.554,2 3 4 5 6 12 17 20 21,548.67,3.88,0.245,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)OCC(Cc1ccccc1)N(C)Cc1ccco1,CC(Cc1ccccc1)N(C)Cc1ccco1,mmp0102_RC_to_RCOCCeqO,bioisostere,obvious,0.508,2 3 4 5,287.36,2.89,0.734,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cc(C(=O)Nc2ccccc2OCC(=O)O)ccc1Cl,O=C(O)COc1ccccc1NC(=O)c1ccc(Cl)c(Cl)c1,mmp0046_RCl_to_ROC,bioisostere,subtle,0.734,1 2,335.74,3.06,0.847,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
