counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
O[C@@H](COc1cccc2ncccc12)CN1CCN([C@H](c2ccccc2Cl)c2ccccc2[CH]C(F)F)CC1,O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,mmp0007_RC_to_RCl,halogen-walk,subtle,0.478,0 1 2 3 4 5 6 7 9 12 13 16 17 18 20 21 23 24,551.06,5.85,0.268,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOc1cc2c(c(F)c1OCCl)C(=N)N(CC(=O)c1cc(N3CCOCC3)c(OC)c(C(C)(C)C)c1)C2,Br.CCOc1cc2c(c(F)c1OCC)C(=N)N(CC(=O)c1cc(N3CCOCC3)c(OC)c(C(C)(C)C)c1)C2,mmp0007_RC_to_RCl,halogen-walk,subtle,0.897,1,548.06,4.97,0.35,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CC)CCO/C(=C1\C2CC3C(C2)C13)c1ccccc1Cl,CCN(CC)CCO/C(=C1\C2CC3C(C2)C13)c1ccccc1,mmp0012_Rc1ccccc1_to_Rc1ccccc1Cl,halogen-walk,subtle,0.597,7,331.89,4.7,0.672,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
FN1CCC(Nc2ncnc3sc(Cl)cc23)CC1,N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,mmp0127_RC_to_RF,halogen-walk,subtle,0.548,1,286.76,3.11,0.861,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Clc1cc2c(NC3CCN(Cc4ccccc4Cl)CC3)ncnc2s1,N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,mmp0012_Rc1ccccc1_to_Rc1ccccc1Cl,halogen-walk,subtle,0.57,7,393.34,5.07,0.672,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=c1oc2ccccc2c([O-])c1C(CF)c1ccccc1,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[K+],mmp0127_RC_to_RF,halogen-walk,subtle,0.656,1,283.28,2.97,0.694,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)CC(c1ccccc1Cl)c1c([O-])c2ccccc2oc1=O,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[K+],mmp0012_Rc1ccccc1_to_Rc1ccccc1Cl,halogen-walk,subtle,0.611,7,341.77,3.63,0.679,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Fc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,mmp0022_RCl_to_RF,halogen-walk,subtle,0.707,1,395.33,6.12,0.449,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Clc1ccc(CCC(Cn2ccnc2)Sc2ccccc2Cl)cc1,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,mmp0012_Rc1ccccc1_to_Rc1ccccc1Cl,halogen-walk,subtle,0.608,,377.34,5.98,0.471,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
FC(Cn1ccnc1)Sc1c(Cl)cccc1Cl,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,mmp0127_RC_to_RF,halogen-walk,subtle,0.436,1,291.18,4.28,0.783,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Clc1cccc(Cl)c1SC(Cl)Cn1ccnc1,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,mmp0007_RC_to_RCl,halogen-walk,subtle,0.442,1,307.63,4.55,0.609,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN(CCl)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C(C)C)c(=O)n2C)cn1,CC(C)n1c(=O)n(C)c2cnc3cc(F)c(-c4ccc(OCCCN5CCCCC5)nc4)cc3c21,mmp0007_RC_to_RCl,halogen-walk,subtle,0.664,0 1 2 4 6 8,500.02,5.35,0.167,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cc(-c2ncnn2C)c2cccc(OCc3ccccc3F)c2n1,Cc1cc(-c2ncnn2C)c2cccc(OCc3c(Cl)cc(F)cc3[C@H](C)NC(=O)COC(F)F)c2n1,mmp0103_Rc1ccccc1Cl_to_Rc1ccccc1F,halogen-walk,subtle,0.5,7,348.38,4.06,0.558,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@H](Cl)C(F)F)n2)cn1,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,mmp0007_RC_to_RCl,halogen-walk,subtle,0.682,0 1 3 6 7,411.84,2.01,0.758,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
