counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)NCCN(C)CCCCC,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,mmp0010_RC_to_RCCCC,homologation,moderate,0.631,0 1 2 3 4 5 6 7 8 9,551.11,6.13,0.143,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)=CCNc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,mmp0122_RCCeqC_to_RCCeqCCC,homologation,moderate,0.712,4 5,521.08,5.92,0.311,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C(C)C)N1CCN(C)CC1,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,mmp0037_RC_to_RCCC,homologation,moderate,0.804,2 3,535.07,5.3,0.33,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(CC)N1CCN(C)CC1,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.796,2,521.04,5.06,0.35,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC(CCN)CCC(O)c1cc(C(C)(C)C)nc2ccccc12,CC(C)(C)c1cc(C(O)CCC2CCNCC2)c2ccccc2n1,mmp0000_RC_to_RCC,homologation,subtle,0.519,0 1 2 3 5 7 9,342.53,5.11,0.7,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)CC(CCN)CCC(O)c1cc(C(C)(C)C)nc2ccccc12,CC(C)(C)c1cc(C(O)CCC2CCNCC2)c2ccccc2n1,mmp0037_RC_to_RCCC,homologation,moderate,0.512,0 1 2 3 4 6 8 10,356.55,5.36,0.669,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)c1cc(C(O)CCC2CCNCC2)c2ccccc2n1,CC(C)(C)c1cc(C(O)CCC2CCNCC2)c2ccccc2n1,mmp0066_RCCCC_to_RCCC,homologation,subtle,0.685,,312.46,4.17,0.871,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC1c2ccccc2CCc2ccccc21,NC(=O)C1c2ccccc2CCc2ccccc21,mmp0000_RC_to_RCC,homologation,subtle,0.429,2,222.33,4.33,0.674,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[S+](CCCN1CCc2ccccc2C1)OC,CC[S+]([O-])CCCN1CCc2ccccc2C1,mmp0009_RO_to_ROC,homologation,subtle,0.672,2,266.43,2.63,0.734,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN1CCc2ccccc2C1,CC[S+]([O-])CCCN1CCc2ccccc2C1,mmp0000_RC_to_RCC,homologation,subtle,0.642,2,189.3,2.84,0.706,14,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cc(N)c(Cl)cc1C(=O)NC(C)CCN(Cc1ccccc1)C(C)C,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,mmp0037_RC_to_RCCC,homologation,moderate,0.427,0 1 2 3 4 5 6 7 8 9 10 11 12 14 15,403.95,4.35,0.611,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN(CCCNC(=O)c1cc(Cl)c(N)cc1OC)Cc1ccccc1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.447,0 1 2 3 4 5 6 7 8 9 10 11 12 14,389.93,3.96,0.476,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC(CCNCc1ccccc1)NC(=O)c1cc(Cl)c(N)cc1OC,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,mmp0000_RC_to_RCC,homologation,subtle,0.453,0 1 2 3 5 7 10 13 17 21 22 24 25 26,389.93,4.01,0.424,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCNC(=O)c1cc(Cl)c(N)cc1OC,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,mmp0124_RCCC_to_RCC,homologation,subtle,0.44,1 2,228.68,1.68,0.774,15,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCOc1cc(-c2nccc3cc(OC)c(OC)cc23)cc(OCC)c1OCC,CCOc1cc(-c2nccc3cc(OC)c(OC)cc23)cc(OCC)c1OCC,mmp0010_RC_to_RCCCC,homologation,moderate,0.828,2 3 4,439.55,6.29,0.309,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCOc1c(OCC)cc(-c2nccc3cc(OC)c(OC)cc23)cc1OCC,CCOc1cc(-c2nccc3cc(OC)c(OC)cc23)cc(OCC)c1OCC,mmp0000_RC_to_RCC,homologation,subtle,0.833,2,411.5,5.51,0.439,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,mmp0000_RC_to_RCC,homologation,subtle,0.495,2,316.36,3.41,0.523,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)OC)c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,mmp0009_RO_to_ROC,homologation,subtle,0.809,2,494.57,3.74,0.394,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(C(C)c1ccc(O)cc1)C(CCC(C)C)c1ccc(O)cc1,CCC(c1ccc(O)cc1)C(CC)C(C)c1ccc(O)cc1,mmp0113_RC_to_RCCCC,homologation,moderate,0.652,2 3 4,340.51,6.45,0.58,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(C)c1ccc(O)cc1,CCC(c1ccc(O)cc1)C(CC)C(C)c1ccc(O)cc1,mmp0000_RC_to_RCC,homologation,subtle,0.429,,150.22,2.91,0.687,11,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(CC)c1ccc(O)cc1,CCC(c1ccc(O)cc1)C(CC)C(C)c1ccc(O)cc1,mmp0000_RC_to_RCC,homologation,subtle,0.415,,164.25,3.3,0.726,12,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(CC)C(C)c1ccc(O)cc1,CCC(c1ccc(O)cc1)C(CC)C(C)c1ccc(O)cc1,mmp0000_RC_to_RCC,homologation,subtle,0.5,,192.3,3.93,0.766,14,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCC(c1ccc(O)cc1)C(CC)C(CC)c1ccc(O)cc1,CCC(c1ccc(O)cc1)C(CC)C(C)c1ccc(O)cc1,mmp0010_RC_to_RCCCC,homologation,moderate,0.51,3 4 16,340.51,6.59,0.54,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCC(CCCC)NC(=O)NS(=O)(=O)c1ccc(CCNC(=O)c2cnc(C)cn2)cc1,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,mmp0010_RC_to_RCCCC,homologation,moderate,0.614,0 1 2 3 4 6 8 11 13,489.64,3.49,0.395,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[C@H](O)[C@H]1CC[C@@H](C)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,mmp0000_RC_to_RCC,homologation,subtle,0.74,2,354.37,3.68,0.884,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOCCN(C)Cc1cc2c3c(cnc2[nH]1)CN(c1c(F)c(OC)cc(OC)c1F)C(=O)N3CC,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,mmp0000_RC_to_RCC,homologation,subtle,0.621,0 1 2 3 4 5 7,503.55,4.29,0.416,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCOCCNCc1cc2c3c(cnc2[nH]1)CN(c1c(F)c(OC)cc(OC)c1F)C(=O)N3CC,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,mmp0000_RC_to_RCC,homologation,subtle,0.621,0 1 2 3 4 5 6,503.55,4.34,0.378,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CCC1(C(CCC)CCCC)C(=O)[N-]C(=O)NC1=O,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+],mmp0010_RC_to_RCCCC,homologation,moderate,0.559,2 3 4,279.36,3.31,0.547,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CCC1(C(CC)CCC)C(=O)[N-]C(=O)NC1=O,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+],mmp0000_RC_to_RCC,homologation,subtle,0.6,2,251.31,2.53,0.582,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCN(C)CCN(C)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,mmp0028_RC_to_RCCC,homologation,moderate,0.612,0 1 2 3 4 5 6 7 8,451.56,5.5,0.53,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[C@@H](C)n1cnc2cc(Cl)ccc2c1=O,C[C@@H](n1cnc2cc(Cl)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,mmp0000_RC_to_RCC,homologation,subtle,0.416,,236.7,3.02,0.804,16,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCOc1cc2nccc(N=Cc3ccc(OC)c(OC)c3)c2cc1OC,COc1ccc(C=Nc2ccnc3cc(OC)c(OC)cc23)cc1OC,mmp0010_RC_to_RCCCC,homologation,moderate,0.754,2 3 4,394.47,5.19,0.369,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(=O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,O=C([O-])C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1.[Na+],mmp0009_RO_to_ROC,homologation,subtle,0.782,2,469.51,6.74,0.405,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
