counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
OC(C1=CC(=C(c2ccccn2)c2ncccn2)C=C1)(c1ccccn1)c1ccccn1,OC(C1=CC(=C(c2ccccn2)c2ccccn2)C=C1)(c1ccccn1)c1ccccn1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.772,6,417.47,3.9,0.53,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2ncccn2)c2ccc(-c3cnc(C)nc3)cc12,CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.721,6,502.51,2.37,0.397,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(CNc2nc([C@@H](C)CC[C@H](C)C(=O)O)nc3sc4ccccc4c23)cc1Cl,COc1ccc(CNc2nc([C@H]3CC[C@H](C(=O)O)CC3)nc3sc4ccccc4c23)cc1Cl,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.573,0 1 2 3 4 5 6 7 9,484.02,6.72,0.275,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@@H](CC[C@H](C)C(=O)O)CNC(=O)c1cc(C(F)(F)F)cc2ccn(Cc3ccc4ccccc4n3)c12,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)c1cc(C(F)(F)F)cc2ccn(Cc3ccc4ccccc4n3)c12,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.622,0 1 2 3 4 5 6 7 9,511.54,6.12,0.283,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H](CC[C@H](C)C(=O)O)CNC(=O)c1cc(C(F)(F)F)cc2ccn(Cc3ccc4ccccc4n3)c12,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)c1cc(C(F)(F)F)cc2ccn(Cc3ccc4ccccc4n3)c12,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.622,0 1 2 3 4 5 6 7 9,511.54,6.12,0.283,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc2[nH]c([S+]([O-])Cc3ncccn3)nc2c1,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.553,6,288.33,1.67,0.738,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COC(C(=O)N[C@@H]1C(=O)N([C@H](C)C(=O)O)[C@@H]1S)c1ccc(Cl)c(Cl)c1,COC(C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O)c1ccc(Cl)c(Cl)c1,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.512,1 2 3 4 5 10,407.28,1.74,0.493,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOCCn1nc(C(=O)NS(C)(=O)=O)c2nc(N(C)CC)nc(Nc3ncccn3)c21,CCOCCn1nc(C(=O)NS(C)(=O)=O)c2nc(N(C)CC)nc(Nc3cc(C)ccn3)c21,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.697,6,463.52,0.54,0.404,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
[O-][S+](Cc1ncccn1)c1nc2ccccc2[nH]1,[O-][S+](Cc1ccccn1)c1nc2ccccc2[nH]1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.632,6,258.31,1.66,0.725,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cc(C)c2c(c1)[C@@H](N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2C[C@@H](C)CC[C@H](C)C(=O)O,Cc1cc(C)c2c(c1)[C@@H](N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2C[C@H]1CC[C@H](C(=O)O)CC1,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.67,0 1 2 3 4 5 6 7 9,640.67,7.35,0.232,45,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
c1cnc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1,O=C1CCCN1c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.506,6,295.39,3.22,0.871,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N([C@@H]1[CH]CCCC1)[C@H](C)C(=O)O,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.484,0 1 2 3 4 5 7 10 11 14 15 17,431.55,2.98,0.523,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H](N[C@H](C)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.544,,312.37,0.68,0.689,22,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cn1cc(C2=C(c3cn(C4CCN(Cc5ncccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.761,6,516.61,4.33,0.352,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)c1c(C)c2cnc(Nc3ncccn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(C4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.579,6,364.41,2.95,0.71,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccccc1S(=O)(=O)NC(=O)c1cc(COc2ccc(-c3ncccn3)cc2)c(C)o1,COc1ccc(-c2ccc(OCc3cc(C(=O)NS(=O)(=O)c4ccccc4C)oc3C)cc2)nc1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.699,6,463.52,4.05,0.44,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@@H](Oc1ccc(C(F)(F)F)cc1)C(=O)O,Cc1ccccc1SCC[C@H](Oc1ccc(C(F)(F)F)cc1)C(=O)O,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.4,,234.17,2.56,0.874,16,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1nc(-c2cnn(C)c2-c2ncccn2)c2c(N3CCC3)ncnn12,Cc1nc(-c2cnn(C)c2-c2ccc(C(F)(F)F)cn2)c2c(N3CCC3)ncnn12,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.591,6,347.39,1.5,0.555,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@@H](NC(=O)c1ccc(N2C[C@H]3CNc4nc(N)[nH]c(=O)c4N3C2)cc1)C(=O)O,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.745,,399.41,-0.37,0.463,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(C)CCOC(c1ccc(Cl)cc1)c1ncccn1,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.6,6,291.78,2.8,0.82,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ncccn3)sc2C1,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1.Cc1ccc(S(=O)(=O)O)cc1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.636,6,514.61,0.03,0.473,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ncccn3)c2)c(Cl)c1,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.667,6,422.29,4.11,0.684,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN1[C@@H](C(=O)NC(C)(CC)CC[C@H](C)C(=O)O)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2,CCN1[C@@H](C(=O)NC23CCC(C(=O)O)(CC2)CC3)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2,mmp0128_RCCCeqOO_to_RCHCCeqOO,other,subtle,0.664,0 1 2 3 4 5 6 7 9 10 12,646.63,7.3,0.266,44,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC1CCC(NC(=O)NS(=O)(=O)c2ccc(CCNC(=O)N(C)c3ncccn3)cc2)CC1,CC1CCC(NC(=O)NS(=O)(=O)c2ccc(CCNC(=O)N(C)c3ccccn3)cc2)CC1,mmp0112_Rc1ccccn1_to_Rc1ncccn1,other,subtle,0.762,6,474.59,2.43,0.564,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
