counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
CC(CC1CC1)(OC(=O)c1ccc(Cc2c(O)c3ccccc3oc2=O)cc1)C(F)(F)F,CC(OC(=O)c1ccc(Cc2c(O)c3ccccc3oc2=O)cc1)(C(F)(F)F)C(F)(F)F,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.711,2 3 4,446.42,5.37,0.407,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(NC1CCCCCC1)NS(=O)(=O)c1cccs1,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCCC2)cc1,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.508,5,302.42,2.46,0.842,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cccc(Cc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc2[C@@H](C)N)c1,C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,mmp0077_RC_to_RCc1ccccCc1,scaffold-hop,obvious,0.526,2 3 4 5 6 7 8 13 16 17,518.56,6.22,0.289,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Nc1nc2c(ncn2CC2CC2)c(=O)[nH]1,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.524,2 3 4,205.22,0.11,0.728,15,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C/N=C(/NCc1ccccc1)NCC1CC1,C/N=C(\NC)NCc1ccccc1.C/N=C(\NC)NCc1ccccc1.O=S(=O)(O)O,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.509,2 3 4,217.32,1.76,0.595,16,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC1(C)C2Cc3ccc(O)cc3C1(c1ccccc1)CCN2CC1(O)CC1,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.537,1 2 3 4 5 6,363.5,3.86,0.87,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC12CCN(CC3CCC3)C(Cc3ccc(O)cc31)C2(C)C,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,mmp0118_RCC1CC1_to_RCC1CCC1,scaffold-hop,subtle,0.653,4,313.49,4.5,0.888,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCNC(=O)c1coc([C@@H]([CH]Cc2ccccc2CCC(=O)[O-])[C@H](O)Cc2ccccc2)n1,CCCCCNC(=O)c1coc([C@H]2[C@@H](Cc3ccccc3CCC(=O)[O-])[C@@H]3CC[C@H]2O3)n1.[Na+],mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.423,0 1 2 3 4 5 6 7 8 9 11 14 17 19 20 23 24 25 27 28 30 32 33,490.6,3.41,0.316,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCCNC(=O)c1coc([C@@H]([CH]Cc2ccccc2CCC(=O)[O-])[C@@H](CC)OCCc2ccccc2)n1,CCCCCNC(=O)c1coc([C@H]2[C@@H](Cc3ccccc3CCC(=O)[O-])[C@@H]3CC[C@H]2O3)n1.[Na+],mmp0117_RC_to_RCCc1ccccc1,scaffold-hop,obvious,0.403,0 1 2 3 4 5 6 7 8 9 10 11 12 14 17 20 22 23 26 27 28 30 31 33 35 36,532.68,4.85,0.235,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN1CCN(c2nc(-c3cnc(N)cc3C(F)(F)F)nc(N3CCOCC3)n2)CC1,Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,mmp0021_RNCC_to_RN1CCNCCC1,scaffold-hop,obvious,0.844,4 5,424.43,1.12,0.778,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
